identifiers,date,page
"Oral History , Accession Number: 2001.28 , RG Number: RG-50.030.0410",interview: 2001 February 20,https://collections.ushmm.org/search/catalog/irn512935
"Oral History , Accession Number: 2015.382.1 , RG Number: RG-50.106.0245",interview: 2014 November 30,https://collections.ushmm.org/search/catalog/irn185375
"Oral History , Accession Number: 2001.213.1 , RG Number: RG-50.969.0001",Unknown,https://collections.ushmm.org/search/catalog/irn558424
"Oral History , RG Number: RG-50.999.0419",interview: 2013 April 25,https://collections.ushmm.org/search/catalog/irn598532
"Oral History , RG Number: RG-50.030.0274",interview: 1995 August 18,https://collections.ushmm.org/search/catalog/irn504758
"Oral History , Accession Number: 1992.A.0125.42 , RG Number: RG-50.233.0042",interview: 1992 April 24,https://collections.ushmm.org/search/catalog/irn509124
"Oral History , Accession Number: 1997.A.0441.125 , RG Number: RG-50.462.0125",interview: 1989 February 28,https://collections.ushmm.org/search/catalog/irn515650
"Oral History , Accession Number: 1997.A.0441.76 , RG Number: RG-50.462.0076",interview: 1996 July 09,https://collections.ushmm.org/search/catalog/irn508717
"Oral History , Accession Number: 1997.A.0441.84 , RG Number: RG-50.462.0084",interview: 1992 April 26,https://collections.ushmm.org/search/catalog/irn508725
"Oral History , Accession Number: 1995.A.1257.26 , RG Number: RG-50.322.0026",interview: 1984 August 21,https://collections.ushmm.org/search/catalog/irn510480
"Oral History , Accession Number: 2001.137.47 , RG Number: RG-50.010.0047",interview: 1978 December 14,https://collections.ushmm.org/search/catalog/irn508916
"Oral History , Accession Number: 2001.137.19 , RG Number: RG-50.010.0019",interview: 1981 May 21,https://collections.ushmm.org/search/catalog/irn508888
"Oral History , RG Number: RG-50.999.0537",interview: 2015 August 12,https://collections.ushmm.org/search/catalog/irn598650
"Oral History , Accession Number: 1999.A.0122.1276 , RG Number: RG-50.477.1276",interview: 1986 February 11,https://collections.ushmm.org/search/catalog/irn46013
"Oral History , Accession Number: 1999.A.0024 , RG Number: RG-50.549.02.0035",interview: 1999 January 20,https://collections.ushmm.org/search/catalog/irn506702
"Oral History , RG Number: RG-50.030.0065",interview: 1995 November 11,https://collections.ushmm.org/search/catalog/irn504561
"Oral History , Accession Number: 1995.A.1263.34 , RG Number: RG-50.166.0034",interview: 1991 September 05,https://collections.ushmm.org/search/catalog/irn505544
"Oral History , Accession Number: 2013.116.1 , RG Number: RG-50.106.0208",interview: 2013 June 11,https://collections.ushmm.org/search/catalog/irn60520
"Oral History , Accession Number: 1996.A.0527 , RG Number: RG-50.030.0447",interview: 1996 November 13,https://collections.ushmm.org/search/catalog/irn504932
"Oral History , Accession Number: 2009.171 , RG Number: RG-50.030.0536",interview: 2009 August 12,https://collections.ushmm.org/search/catalog/irn38082
"Oral History , Accession Number: 2018.397.1 , RG Number: RG-90.013.0001",interview: 1997,https://collections.ushmm.org/search/catalog/irn625754
"Oral History , Accession Number: 1990.481.26 , RG Number: RG-50.062.0026",interview: 1988 January 09,https://collections.ushmm.org/search/catalog/irn511077
"Oral History , RG Number: RG-50.999.0430",interview: 2013 June 05,https://collections.ushmm.org/search/catalog/irn598543
"Oral History , RG Number: RG-50.999.0683",interview: 2019 April 11,https://collections.ushmm.org/search/catalog/irn713249
"Oral History , Accession Number: 1990.363.1 , RG Number: RG-50.030.0061",interview: 1990 March 20,https://collections.ushmm.org/search/catalog/irn504557
"Oral History , Accession Number: 2017.215.2 , RG Number: RG-50.977.0002",interview: 2013 March,https://collections.ushmm.org/search/catalog/irn561514
"Oral History , Accession Number: 1999.A.0122.811 , RG Number: RG-50.477.0811",interview: 1991 March 21,https://collections.ushmm.org/search/catalog/irn515848
"Oral History , Accession Number: 1999.A.0122.622 , RG Number: RG-50.477.0622",interview: 1990 August 22,https://collections.ushmm.org/search/catalog/irn514576
"Oral History , Accession Number: 1999.A.0122.217 , RG Number: RG-50.477.0217",interview: 1993 August 12,https://collections.ushmm.org/search/catalog/irn508378
"Oral History , Accession Number: 1999.A.0122.66 , RG Number: RG-50.477.0066",interview: 1992 June 18interview: 1993 November 05,https://collections.ushmm.org/search/catalog/irn507737
"Oral History , Accession Number: 1999.A.0122.1298 , RG Number: RG-50.477.1298",interview: 1989 January 26,https://collections.ushmm.org/search/catalog/irn47567
"Oral History , Accession Number: 1995.A.1226 , RG Number: RG-50.549.01.0004",interview: 1995 November 22,https://collections.ushmm.org/search/catalog/irn504886
"Oral History , RG Number: RG-50.549.01.0009",interview: 1995 December 14,https://collections.ushmm.org/search/catalog/irn504893
"Oral History , Accession Number: 1990.372.1 , RG Number: RG-50.030.0012",interview: 1990 April 23,https://collections.ushmm.org/search/catalog/irn504447
"Oral History , Accession Number: 1992.A.0125.139 , RG Number: RG-50.233.0139",interview: 1992 April 08,https://collections.ushmm.org/search/catalog/irn509221
"Oral History , Accession Number: 1992.A.0125.125 , RG Number: RG-50.233.0125",interview: 1992 March 27,https://collections.ushmm.org/search/catalog/irn509207
"Oral History , Accession Number: 1990.411.1 , RG Number: RG-50.030.0216",interview: 1990 June 15,https://collections.ushmm.org/search/catalog/irn504708
"Oral History , Accession Number: 1990.370.1 , RG Number: RG-50.030.0220",interview: 1990 March 30,https://collections.ushmm.org/search/catalog/irn504712
"Oral History , RG Number: RG-50.030.0427",interview: 1996 April 01-1996 April 04,https://collections.ushmm.org/search/catalog/irn504900
"Oral History , Accession Number: 1996.A.0589 , RG Number: RG-50.106.0058",interview: 1996 November 05,https://collections.ushmm.org/search/catalog/irn507556
"Oral History , Accession Number: 1999.A.0244 , RG Number: RG-50.106.0127",interview: 1999 October 30,https://collections.ushmm.org/search/catalog/irn506638
"Oral History , Accession Number: 2016.156.1 , RG Number: RG-50.106.0251",interview: 2015 October 19,https://collections.ushmm.org/search/catalog/irn530989
"Oral History , Accession Number: 1995.A.1286.27 , RG Number: RG-50.405.0027",interview: 1990 May 22,https://collections.ushmm.org/search/catalog/irn511672
"Oral History , Accession Number: 1992.A.0126.53 , RG Number: RG-50.156.0053",interview: 1987 March 11,https://collections.ushmm.org/search/catalog/irn510707
"Oral History , Accession Number: 1992.A.0124.35 , RG Number: RG-50.028.0035",interview: 1991 February 05,https://collections.ushmm.org/search/catalog/irn508772
"Oral History , Accession Number: 2019.154.3 , RG Number: RG-90.008.0003",interview: 1994 June 08,https://collections.ushmm.org/search/catalog/irn693773
"Oral History , RG Number: RG-50.999.0505",interview: 2015 April 22,https://collections.ushmm.org/search/catalog/irn598618
"Oral History , RG Number: RG-50.999.0515",interview: 2015 May 27,https://collections.ushmm.org/search/catalog/irn598628
"Oral History , RG Number: RG-50.999.0416",interview: 2013 April 17,https://collections.ushmm.org/search/catalog/irn598529
"Oral History , Accession Number: 2022.9.36 , RG Number: RG-90.217.0036",Unknown,https://collections.ushmm.org/search/catalog/irn734877
"Oral History , Accession Number: 1992.A.0125.5 , RG Number: RG-50.233.0005",interview: 1992 April 21,https://collections.ushmm.org/search/catalog/irn509082
"Oral History , Accession Number: 2016.238.1 , RG Number: RG-50.030.0887",interview: 2016 August 09,https://collections.ushmm.org/search/catalog/irn546122
"Oral History , Accession Number: 1999.A.0122.1377 , RG Number: RG-50.477.1377",interview: 1983 April 14,https://collections.ushmm.org/search/catalog/irn47671
"Oral History , Accession Number: 1999.A.0137.2 , RG Number: RG-50.549.05.0002",interview: 1999 April 22,https://collections.ushmm.org/search/catalog/irn504888
"Oral History , RG Number: RG-50.030.0292",interview: 1994 September 22,https://collections.ushmm.org/search/catalog/irn504788
"Oral History , Accession Number: 2015.37.1 , RG Number: RG-50.030.0796",interview: 2015 March 03,https://collections.ushmm.org/search/catalog/irn96807
"Oral History , RG Number: RG-50.030.0342",interview: 1995 August 10,https://collections.ushmm.org/search/catalog/irn504836
"Oral History , Accession Number: 1992.A.0125.113 , RG Number: RG-50.233.0113",interview: 1992 February 27,https://collections.ushmm.org/search/catalog/irn509195
"Oral History , Accession Number: 1999.A.0185 , RG Number: RG-50.106.0119",interview: 1999 August 05,https://collections.ushmm.org/search/catalog/irn506631
"Oral History , Accession Number: 1996.A.0005 , RG Number: RG-50.106.0017",interview: 1995 October 23,https://collections.ushmm.org/search/catalog/irn507528
"Oral History , Accession Number: 1998.A.0119.1 , RG Number: RG-50.471.0001",interview: 1997 May 20,https://collections.ushmm.org/search/catalog/irn511018
"Oral History , RG Number: RG-50.999.0745",interview: 2021 July 07,https://collections.ushmm.org/search/catalog/irn724301
"Oral History , Accession Number: 1997.A.0441.91 , RG Number: RG-50.462.0091",interview: 1981 October 20,https://collections.ushmm.org/search/catalog/irn508732
